Код smd ;Значение ;Код smd ;Значение ;Код smd ;Значение
R10 ; 0,1 Ом ;1R0 ; 1 Ом ;753; 75 кОм
R15 ; 0,15 Ом ;5R1 ; 5,1 Ом ;303; 30 кОм
R82 ; 0,82 Ом ;561; 560 Ом ;244; 240 кОм
3R3 ; 3,3 Ом ;161; 160 Ом ;155; 1,5 МОм
471; 470 пФ ;R91 ; 0,91 Ом ;122; 1,2 кОм
820; 82 пФ ;152; 1,5 кОм ;751; 750 Ом
162; 1,6 кОм ;103; 10 кОм ;680; 68 Ом
224; 220 кОм ;224; 220 нФ ;8R2 ; 8,2 Ом
515; 5,1 МОм ;474; 470 нФ ;R20 ; 0,2 Ом
8R2 ; 8,2 кОм ;625; 6,2 МОм ;150; 15 Ом
753; 75 нФ ;913; 91 кОм ;111; 110 Ом
914; 910 кОм ;915; 9,1 МОм ;203; 20 кОм
R47 ; 0,47 Ом ;9R1 ; 9,1 Ом ;222; 2,2 кОм
2R4 ; 2,4 Ом ;270; 27 Ом ;132; 1,3 кОм
431; 430 пФ ;161; 160 пФ ;335; 3,3 МОм
750; 75 пФ ;2R0 ; 2 Ом ;124; 120 кОм
685; 6,8 МОм ;820; 82 Ом ;513; 51 кОм
514; 510 кОм ;272; 2,7 кОм ;8R2 ; 8,2 кОм
124; 120 пФ ;363; 36 кОм ;910; 91 Ом
153; 15 кОм ;164; 1,6 МОм ;621; 620 пФ